"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","otherCatalogNumbers","institutionCode","occurrenceRemarks","identifiedBy","fieldNotes","language","ownerInstitutionCode","elevationAccuracy","continent","institutionID","nomenclaturalCode","higherGeography","organismID","datasetID","accessRights","collectionID","higherClassification","references","habitat","verbatimEventDate","endDayOfYear","county","preparations","startDayOfYear","verbatimElevation","coordinateUncertaintyInMeters","georeferenceProtocol","georeferenceSources","georeferencedDate","nomenclaturalStatus","taxonID","bibliographicCitation","infraspecificEpithet","typeStatus","typifiedName","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Erythroxylum gonoclados",1423927868,-21.850278,-41.871389,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:35:30.051+0000","2018-09-24T19:58:02.452+0000",207,"none","PRESERVED_SPECIMEN",7284863,6,7707728,220,1414,6686,2873937,7284863,7284863,"Erythroxylum gonoclados (Mart.) O.E.Schulz","Erythroxylum gonoclados (Mart.) O.E.Schulz","Plantae","Tracheophyta","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum gonoclados","Erythroxylum","gonoclados","SPECIES","ACCEPTED","2016-10-19T00:00:00",1455,"Rio de Janeiro",2016,8,31,"2016-08-31T00:00:00","2017-10-15T11:55:26.271+0000","2018-12-06T16:55:35.487+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1177012","1047","RB - Rio de Janeiro Botanical Garden Herbarium Collection","São Fidélis","Serra do Itacolomi. Floresta de altitude após a Pedra do Macaco. Parque Estadual do Desengano","RB",1423927868,"urn:catalog:JBRJ:RB:1177012","PhysicalObject","C. Baez; Thalis Lima, Patrícia da Rosa, João Marins e Aurênio Perrute","RB01177012","RB 659984","JBRJ","Terrícola, semi-heliófila. Folhas glabras discolores. Cálice verde. Corola alva. Estípulas castanhas.","L. J. S. Pinto","","","",NA,"","","","",NA,"","","","","","","",NA,"","",NA,"",NA,"","","","",NA,"","","","","São Fidélis","Rio de Janeiro","brazil",1830,"São Fidélis",3304805,-41.787598,-21.660121,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,"Rio de Janeiro","rj",-21.850278,-41.871389,"original coordinates","original coordinates OK"
"2","Erythroxylum gonoclados",1423899671,-17.923889,-44.241944,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:34:36.499+0000","2018-09-24T19:57:48.447+0000",207,"none","PRESERVED_SPECIMEN",7284863,6,7707728,220,1414,6686,2873937,7284863,7284863,"Erythroxylum gonoclados (Mart.) O.E.Schulz","Erythroxylum gonoclados (Mart.) O.E.Schulz","Plantae","Tracheophyta","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum gonoclados","Erythroxylum","gonoclados","SPECIES","ACCEPTED","none",632,"Minas Gerais",2015,11,28,"2015-11-28T00:00:00","2017-10-15T10:55:26.829+0000","2018-12-06T16:55:18.851+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1063576","4533","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Buenópolis","Região do bim barra, após a passagem Dantas. Parque Estadual da Serra do Cabral","RB",1423899671,"urn:catalog:JBRJ:RB:1063576","PhysicalObject","R. Marquete; Marli P. Morim, Lucas Jordão & Luciano E. Santos (IEF-MG)","RB01063576","RB 639171","JBRJ","Arbusto heliófito com cerca de 60 centímetros de altura, crescendo em touceiras. Tronco de casca lisa, marrom, com lenticelas. Folhas cartáceas, discolores verdes, opacas nas duas faces. Frutos imaturos amarelos-avermelhados, maduros vermelhos com cálice verde persistentes e pedúnculo verde.","Ronaldo Marquete","Relevo plano; solo arenoso; vegetação savana arborizada próxima ao afloramento rochoso.","","",NA,"","","","",NA,"","","","","","","",NA,"","",NA,"",NA,"","","","",NA,"","","","","Buenópolis","Minas Gerais","brazil",2805,"Buenópolis",3109204,-44.040923,-17.882313,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-17.923889,-44.241944,"original coordinates","original coordinates OK"
"3","Erythroxylum gonoclados",1423899668,-17.748611,-44.196389,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:34:36.696+0000","2018-09-24T19:57:48.466+0000",207,"none","PRESERVED_SPECIMEN",7284863,6,7707728,220,1414,6686,2873937,7284863,7284863,"Erythroxylum gonoclados (Mart.) O.E.Schulz","Erythroxylum gonoclados (Mart.) O.E.Schulz","Plantae","Tracheophyta","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum gonoclados","Erythroxylum","gonoclados","SPECIES","ACCEPTED","none",NA,"Minas Gerais",2015,11,27,"2015-11-27T00:00:00","2016-01-28T08:59:11.631+0000","2018-12-06T16:55:19.057+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1063567","4525","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Joaquim Felício","Estrada para Bocaina. Parque Estadual da Serra do Cabral","RB",1423899668,"urn:catalog:JBRJ:RB:1063567","PhysicalObject","R. Marquete; Marli P. Morim, Lucas Jordão & Rodrigo (IEF-MG)","RB01063567","RB 639163","JBRJ","Arbusto com cerca de 50 centímetros de altura, heliófito. Tronco de casca lisa, marrom. Folhas membranáceas, discolores, opacas nas duas faces. Flores de cálice verde, corola amarela-esverdeada.","Ronaldo Marquete","Relevo plano; solo argilo-arenoso; vegetação savana arborizada.","","",NA,"","","","",NA,"","","","","","","",NA,"","",NA,"",NA,"","","","",NA,"","","","","Joaquim Felício","Minas Gerais","brazil",2831,"Joaquim Felício",3136405,-44.111974,-17.676272,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-17.748611,-44.196389,"original coordinates","original coordinates OK"
"4","Erythroxylum gonoclados",1848247664,-21.713611,-43.913333,"gass84","3b8e9d83-b2d4-4a97-973c-31d98b67b1e9","ab5c0b99-5af3-4958-b03c-0b7e85481cc1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T15:24:41.132+0000","2018-06-04T19:36:11.680+0000",118,"none","PRESERVED_SPECIMEN",7284863,6,7707728,220,1414,6686,2873937,7284863,7284863,"Erythroxylum gonoclados (Mart.) O.E.Schulz","Erythroxylum gonoclados (Mart.) O.E.Schulz","Plantae","Tracheophyta","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum gonoclados","Erythroxylum","gonoclados","SPECIES","ACCEPTED","2014-06-01T00:00:00",1368,"Minas Gerais",2014,5,14,"2014-05-14T00:00:00","2018-05-10T18:52:36.000+0000","2018-12-08T15:08:33.727+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MBM - Herbário do Museu Botânico Municipal","BRA:MBM:MBM:0000404996","4408","MBM - Herbário do Museu Botânico Municipal","Lima Duarte","Parque Estadual de Ibitipoca, Distrito de Conceição de Ibitipoca. Na estrada que da acesso a sede do parque","MBM",1848247664,"BRA:MBM:MBM:0000404996","Collection","Marquete, R; Freitas, MF; Luna, BN; Gonzaga, DR","404996","","MBM","Arbusto heliófito com 2 m de altura, tronco de casca lisa, marrom, ramos apicais acastanhados, folhas cartáceas, discolores opacas nas duas faces. Flores com cálice de sépalas verdes e corola de pétalas alva. Frutos maduros vermelhos","Marquete, R","","pt","Museu Botânico Municipal de Curitiba, MBM",0,"SOUTH_AMERICA","","","",NA,"","","","","","","",NA,"","",NA,"",NA,"","","","",NA,"","","","","Lima Duarte","Minas Gerais","brazil",1776,"Lima Duarte",3138609,-43.887694,-21.799694,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-21.713611,-43.913333,"original coordinates","original coordinates OK"
"5","Erythroxylum gonoclados",1424470360,-19.247222,-43.510278,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:42:41.558+0000","2018-09-24T20:03:55.008+0000",207,"none","PRESERVED_SPECIMEN",7284863,6,7707728,220,1414,6686,2873937,7284863,7284863,"Erythroxylum gonoclados (Mart.) O.E.Schulz","Erythroxylum gonoclados (Mart.) O.E.Schulz","Plantae","Tracheophyta","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum gonoclados","Erythroxylum","gonoclados","SPECIES","ACCEPTED","2015-03-19T00:00:00",1270,"Minas Gerais",2013,10,15,"2013-10-15T00:00:00","","2018-12-06T17:00:41.754+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:826380","6601","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Morro do Pilar","PARNA Serra do Cipó. Alto Palácio; região das Vellozia gigantea.","RB",1424470360,"urn:catalog:JBRJ:RB:826380","PhysicalObject","M. Verdi; N. Pougy, D. Maurenza, E. Martins, E. Dalcin","RB00826380","RB 590289","JBRJ","Folhas e flores verdes; frequente; encontrado em área de campo graminoso seco, com pequenos arbustos ou arvoretas, às vezes pedregoso ou arenoso; vegetando os afloramentos de rocha nas velozias gigantes; onde observou-se a ocorrência de turismo (visitação) e proximidade à rodovia MG-010","J.L. Costa-Lima","","","",NA,"","","","",NA,"","","","","","","",NA,"","",NA,"",NA,"","","","",NA,"","","","","Morro do Pilar","Minas Gerais","brazil",2589,"Morro do Pilar",3143708,-43.403052,-19.235919,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-19.247222,-43.510278,"original coordinates","original coordinates OK"
"6","Erythroxylum gonoclados",1424378286,-20.364167,-43.517222,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:41:47.986+0000","2018-09-24T20:02:55.598+0000",207,"none","PRESERVED_SPECIMEN",7284863,6,7707728,220,1414,6686,2873937,7284863,7284863,"Erythroxylum gonoclados (Mart.) O.E.Schulz","Erythroxylum gonoclados (Mart.) O.E.Schulz","Plantae","Tracheophyta","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum gonoclados","Erythroxylum","gonoclados","SPECIES","ACCEPTED","none",1538,"Minas Gerais",2011,5,17,"2011-05-17T00:00:00","2017-10-18T15:21:44.151+0000","2018-12-06T16:59:48.252+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:674066","6346","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Ouro Preto","Serra de Ouro Preto. Fazenda da Brigida. Campo rupestre arbustivo sobre canga.","RB",1424378286,"urn:catalog:JBRJ:RB:674066","PhysicalObject","R.C. Forzza; D.P. Saraiva; R.S. Ribeiro; L.A. Silva & J.L. Silva","RB00674066","RB 526586","JBRJ","Arbusto, muito frequente, 1,5-2,5 m alt. Flores com cálice verde; corola alva. Frutos verdes a vermelhos.","J.L. Costa-Lima","","","",NA,"","","","",NA,"","","","","","","",NA,"","",NA,"",NA,"","","","",NA,"","","","","Ouro Preto","Minas Gerais","brazil",2297,"Ouro Preto",3146107,-43.611642,-20.391209,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-20.364167,-43.517222,"original coordinates","original coordinates OK"
"7","Erythroxylum gonoclados",1424416509,-20.139167,-44.236944,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:42:10.644+0000","2018-09-24T20:03:27.317+0000",207,"none","PRESERVED_SPECIMEN",7284863,6,7707728,220,1414,6686,2873937,7284863,7284863,"Erythroxylum gonoclados (Mart.) O.E.Schulz","Erythroxylum gonoclados (Mart.) O.E.Schulz","Plantae","Tracheophyta","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum gonoclados","Erythroxylum","gonoclados","SPECIES","ACCEPTED","2012-10-30T00:00:00",870,"Minas Gerais",2008,1,22,"2008-01-22T00:00:00","2017-10-07T19:04:10.850+0000","2018-12-06T17:00:10.505+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:717210","58","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Brumadinho","Inhotim.","RB",1424416509,"urn:catalog:JBRJ:RB:717210","PhysicalObject","J.G. Oliveira; F.M. Rodrigues","RB00717210","RB 550322","JBRJ","Arbusto; flores branco-esverdeadas e frutos imaturos verdes.","James Lucas da Costa Lima","","","",NA,"","","","",NA,"","","","","","","",NA,"","",NA,"",NA,"","","","",NA,"","","","","Brumadinho","Minas Gerais","brazil",2367,"Brumadinho",3109006,-44.123298,-20.178103,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-20.139167,-44.236944,"original coordinates","original coordinates OK"
"8","Erythroxylum gonoclados",1423911865,-19.246944,-43.510556,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:35:01.224+0000","2018-09-24T19:57:54.524+0000",207,"none","PRESERVED_SPECIMEN",7284863,6,7707728,220,1414,6686,2873937,7284863,7284863,"Erythroxylum gonoclados (Mart.) O.E.Schulz","Erythroxylum gonoclados (Mart.) O.E.Schulz","Plantae","Tracheophyta","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum gonoclados","Erythroxylum","gonoclados","SPECIES","ACCEPTED","2009-01-01T00:00:00",1265,"Minas Gerais",2008,3,11,"2008-03-11T00:00:00","2017-10-15T11:22:09.197+0000","2018-12-06T16:55:26.582+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1129488","12c","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Morro do Pilar","Parque Nacional da Serra do Cipó. Acesso pelo km 123 da rodovia MG 010","RB",1423911865,"urn:catalog:JBRJ:RB:1129488","PhysicalObject","M.A. Pena; M.C. Watanabe","RB01129488","RB 650716","JBRJ","","M.A. Pena","Afloramento das velózias gigantes","","",NA,"","","","",NA,"","","","","","","",NA,"","",NA,"",NA,"","","","",NA,"","","","","Morro do Pilar","Minas Gerais","brazil",2589,"Morro do Pilar",3143708,-43.403052,-19.235919,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-19.246944,-43.510556,"original coordinates","original coordinates OK"
"9","Erythroxylum gonoclados",1086909750,-23.338056,-45.148056,"gass84","16ed67e5-fd70-4fd4-85c3-70ea2da627fe","52603cfd-d564-4e89-a466-5e71813677be","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T08:56:55.946+0000","2018-11-24T08:56:56.020+0000",126,"none","PRESERVED_SPECIMEN",7284863,6,7707728,220,1414,6686,2873937,7284863,7284863,"Erythroxylum gonoclados (Mart.) O.E.Schulz","Erythroxylum gonoclados (Mart.) O.E.Schulz","Plantae","Tracheophyta","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum gonoclados","Erythroxylum","gonoclados","SPECIES","ACCEPTED","2008-11-13T00:00:00",900,"São Paulo",2008,8,12,"2008-08-12T00:00:00","2018-11-05T15:56:05.000+0000","2018-12-08T13:01:17.054+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPSF - Herbário Dom Bento José Pickel","BRA:IF:SPSF:0000041193","1116","SPSF - Herbário Dom Bento José Pickel","São Luis do Paraitinga","Estação Ecológica de Santa Virginia","SPSF",1086909750,"BRA:IF:SPSF:0000041193","Collection","F.M.Souza & N.M.Ivanauskas & M.J.Robim","41193","","IF","","G.A.D.C. Franco","","pt","Instituto Florestal, IF",0,"SOUTH_AMERICA","","","",NA,"","","","","","","",NA,"","",NA,"",NA,"","","","",NA,"","","","","São Luis do Paraitinga","São Paulo","brazil",1258,"São Luís do Paraitinga",3550001,-45.253888,-23.239725,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-23.338056,-45.148056,"original coordinates","original coordinates outside municipality original in sao luis do paraitinga falls in sao luiz do paraitinga"
"10","Erythroxylum gonoclados",1090656661,-19.217861,-43.507333,"gass84","03929cfc-82e3-4f21-97e3-7be4de285584","76dbcb10-efc5-4d5f-87a5-bcd409fc92c8","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:32:48.207+0000","2017-12-29T14:06:08.246+0000",137,"none","PRESERVED_SPECIMEN",7284863,6,7707728,220,1414,6686,2873937,7284863,7284863,"Erythroxylum gonoclados (Mart.) O.E.Schulz","Erythroxylum gonoclados (Mart.) O.E.Schulz","Plantae","Tracheophyta","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum gonoclados","Erythroxylum","gonoclados","SPECIES","ACCEPTED","none",1313,"Minas Gerais",2004,1,1,"2004-01-01T00:00:00","2015-01-08T13:04:07.000+0000","2018-12-08T04:43:57.417+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPFw - Xiloteca do Instituto de Biociências da Universidade de São Paulo","BRA:USP:SPFW:0000000902","2148","SPFw - Xiloteca do Instituto de Biociências da Universidade de São Paulo","Santana do Riacho","","SPFW",1090656661,"BRA:USP:SPFW:0000000902","Collection","Ceccantini, G.C.T. Locosselli, G.M.; Gussella, L.W.; Mota, L.B.; Amaral, M.M.","902","","USP","Capão B","J.R. Pirani 2004","","pt","Universidade de São Paulo, USP",0,"","","","",NA,"","","","","","","",NA,"","",NA,"",NA,"","","","",NA,"","","","","Santana do Riacho","Minas Gerais","brazil",2600,"Santana do Riacho",3159001,-43.645093,-19.189098,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-19.217861,-43.507333,"original coordinates","original coordinates OK"
